1	And Job answereth Jehovah and saith:—
Psalm 139:19	Dost Thou slay, O God, the wicked? Then, men of blood, turn aside from me!
Psalm 139:20	Who exchange Thee for wickedness, Lifted up to vanity are Thine enemies.
Psalm 139:21	Do not I hate, Jehovah, those hating Thee? And with Thy withstanders grieve myself?
Psalm 139:22	With perfect hatred I have hated them, Enemies they have become to me.
Psalm 139:23	Search me, O God, and know my heart, Try me, and know my thoughts,
Psalm 139:24	And see if a grievous way be in me, And lead me in a way age-during!
Psalm 140:1	To the Overseer.—A Psalm of David. Deliver me, O Jehovah, from an evil man, From one of violence Thou keepest me.
Psalm 140:2	Who have devised evils in the heart, All the day they assemble for wars.
Psalm 140:3	They sharpened their tongue as a serpent, Poison of an adder is under their lips. Selah.
Psalm 140:4	Preserve me, Jehovah, from the hands of the wicked, From one of violence Thou keepest me, Who have devised to overthrow my steps.
Psalm 140:5	The proud hid a snare for me—and cords, They spread a net by the side of the path, Snares they have set for me. Selah.
Psalm 140:6	I have said to Jehovah, ‘My God art Thou, Hear, Jehovah, the voice of my supplications.’
Psalm 140:7	O Jehovah, my Lord, strength of my salvation, Thou hast covered my head in the day of armour.
Psalm 140:8	Grant not, O Jehovah, the desires of the wicked, His wicked device bring not forth, They are high. Selah.
Psalm 140:9	The chief of my surrounders, The perverseness of their lips covereth them.
Psalm 140:10	They cause to fall on themselves burning coals, Into fire He doth cast them, Into deep pits—they arise not.
Psalm 140:11	A talkative man is not established in the earth, One of violence—evil hunteth to overflowing.
Psalm 140:12	I have known that Jehovah doth execute The judgment of the afflicted, The judgment of the needy.
Psalm 140:13	Only—the righteous give thanks to Thy name, The upright do dwell with Thy presence!
Psalm 141:1	A Psalm, by David. O Jehovah, I have called Thee, haste to me, Give ear to my voice when I call to Thee.
Psalm 141:2	My prayer is prepared—incense before Thee, The lifting up of my hands—the evening present.
Psalm 141:3	Set, O Jehovah, a watch for my mouth, Watch Thou over the door of my lips.
Psalm 141:4	Incline not my heart to an evil thing, To do habitually actions in wickedness, With men working iniquity, Yea, I eat not of their pleasant things.
Psalm 141:5	The righteous doth beat me in kindness. And doth reprove me, Oil of the head my head disalloweth not, For still my prayer is about their vexations.
Psalm 141:6	Their judges have been released by the sides of a rock, And they have heard my sayings, For they have been pleasant.
Psalm 141:7	As one tilling and ripping up in the land, Have our bones been scattered at the command of Saul.
Psalm 141:8	But to Thee, O Jehovah, my Lord, are mine eyes, In Thee I have trusted, Make not bare my soul.
Psalm 141:9	Keep me from the gin they laid for me, Even snares of workers of iniquity.
Psalm 141:10	The wicked fall in their nets together, till I pass over!
Psalm 142:1	An Instruction of David, a Prayer when he is in the cave. My voice is unto Jehovah, I cry, My voice is unto Jehovah, I entreat grace.
Psalm 142:2	I pour forth before Him my meditation, My distress before Him I declare.
Psalm 142:3	When my spirit hath been feeble in me, Then Thou hast known my path; In the way in which I walk, They have hid a snare for me.
Psalm 142:4	Looking on the right hand—and seeing, And I have none recognizing; Perished hath refuge from me, There is none inquiring for my soul.
Psalm 142:5	I have cried unto thee, O Jehovah, I have said, ‘Thou art my refuge, My portion in the land of the living.’
Psalm 142:6	Attend Thou unto my loud cry, For I have become very low, Deliver Thou me from my pursuers, For they have been stronger than I.
Psalm 142:7	Bring forth from prison my soul to confess Thy name, The righteous do compass me about, When Thou conferrest benefits upon me!
Psalm 143:1	A Psalm of David. O Jehovah, hear my prayer, Give ear unto my supplications, In Thy faithfulness answer me—in Thy righteousness.
Psalm 143:2	And enter not into judgment with Thy servant, For no one living is justified before Thee.
Psalm 143:3	For an enemy hath pursued my soul, He hath bruised to the earth my life, He hath caused me to dwell in dark places, As the dead of old.
Psalm 143:4	And my spirit in me is become feeble, Within me is my heart become desolate.
Psalm 143:5	I have remembered days of old, I have meditated on all Thine acts, On the work of Thy hand I muse.
Psalm 143:6	I have spread forth my hands unto Thee, My soul is as a weary land for Thee. Selah.
Psalm 143:7	Haste, answer me, O Jehovah, My spirit hath been consumed, Hide not Thou Thy face from me, Or I have been compared with those going down to the pit.
Psalm 143:8	Cause me to hear in the morning Thy kindness, For in Thee I have trusted, Cause me to know the way that I go, For unto Thee I have lifted up my soul.
Psalm 143:9	Deliver me from mine enemies, O Jehovah, Near Thee I am covered.
Psalm 143:10	Teach me to do Thy good pleasure, For Thou art my God—Thy Spirit is good, Lead me into a land of uprightness.
Psalm 143:11	For Thy name’s sake O Jehovah, Thou dost quicken me, In Thy righteousness, Thou bringest out from distress my soul,
Psalm 143:12	And in Thy kindness cuttest off mine enemies, And hast destroyed all the adversaries of my soul, For I am Thy servant!
Psalm 144:1	By David. Blessed is Jehovah my rock, who is teaching My hands for war, my fingers for battle.
Psalm 144:2	My kind one, and my bulwark, My tower, and my deliverer, My shield, and in whom I have trusted, Who is subduing my people under me!
Psalm 144:3	Jehovah, what is man that Thou knowest him? Son of man, that Thou esteemest him?
Psalm 144:4	Man to vanity hath been like, His days are as a shadow passing by.
Psalm 144:5	Jehovah, incline Thy heavens and come down, Strike against mountains, and they smoke.
Psalm 144:6	Send forth lightning, and scatter them, Send forth Thine arrows, and trouble them,
Psalm 144:7	Send forth Thy hand from on high, Free me, and deliver me from many waters, From the hand of sons of a stranger,
Psalm 144:8	Because their mouth hath spoken vanity, And their right hand is a right hand of falsehood.
Psalm 144:9	O God, a new song I sing to Thee, On a psaltery of ten strings I sing praise to Thee.
Psalm 144:10	Who is giving deliverance to kings, Who is freeing David His servant from the sword of evil.
Psalm 144:11	Free me, and deliver me From the hand of sons of a stranger, Because their mouth hath spoken vanity, And their right hand is a right hand of falsehood,
Psalm 144:12	Because our sons are as plants, Becoming great in their youth, Our daughters as hewn stones, Polished—the likeness of a palace,
Psalm 144:13	Our garners are full, bringing out from kind to kind, Our flocks are bringing forth thousands, Ten thousands in our out-places,
Psalm 144:14	Our oxen are carrying, there is no breach, And there is no outgoing, And there is no crying in our broad places.
Psalm 144:15	O the happiness of the people that is thus, O the happiness of the people whose God is Jehovah!
Psalm 145:1	Praise by David. I exalt Thee, my God, O king, And bless Thy name to the age and for ever.
Psalm 145:2	Every day do I bless Thee, And praise Thy name to the age and for ever.
Psalm 145:3	Great is Jehovah, and praised greatly, And of His greatness there is no searching.
Psalm 145:4	Generation to generation praiseth Thy works, And Thy mighty acts they declare.
Psalm 145:5	The honour—the glory of Thy majesty, And the matters of Thy wonders I declare.
Psalm 145:6	And the strength of Thy fearful acts they tell, And Thy greatness I recount.
Psalm 145:7	The memorial of the abundance of Thy goodness they send forth. And Thy righteousness they sing.
Psalm 145:8	Gracious and merciful is Jehovah, Slow to anger, and great in kindness.
Psalm 145:9	Good is Jehovah to all, And His mercies are over all His works.
Psalm 145:10	Confess Thee O Jehovah, do all Thy works, And Thy saints do bless Thee.
Psalm 145:11	The honour of Thy kingdom they tell, And of Thy might they speak,
Psalm 145:12	To make known to sons of men His mighty acts, The honour of the majesty of His kingdom.
Psalm 145:13	Thy kingdom is a kingdom of all ages, And Thy dominion is in all generations.
Psalm 145:14	Jehovah is supporting all who are falling, And raising up all who are bowed down.
Psalm 145:15	The eyes of all unto Thee do look, And Thou art giving to them their food in its season,
Psalm 145:16	Opening Thy hand, and satisfying The desire of every living thing.
Psalm 145:17	Righteous is Jehovah in all His ways, And kind in all His works.
Psalm 145:18	Near is Jehovah to all those calling Him, To all who call Him in truth.
Psalm 145:19	The desire of those fearing Him He doth, And their cry He heareth, and saveth them.
Psalm 145:20	Jehovah preserveth all those loving Him, And all the wicked He destroyeth.
Psalm 145:21	The praise of Jehovah my mouth speaketh, And all flesh doth bless His holy name, To the age and for ever!
Psalm 146:1	Praise ye Jah! Praise, O my soul, Jehovah.
Psalm 146:2	I praise Jehovah during my life, I sing praise to my God while I exist.
Psalm 146:3	Trust not in princes—in a son of man, For he hath no deliverance.
Psalm 146:4	His spirit goeth forth, he returneth to his earth, In that day have his thoughts perished.
Psalm 146:5	O the happiness of him Who hath the God of Jacob for his help, His hope is on Jehovah his God,
Psalm 146:6	Making the heavens and earth, The sea and all that is in them, Who is keeping truth to the age,
Psalm 146:7	Doing judgment for the oppressed, Giving bread to the hungry.
Psalm 146:8	Jehovah is loosing the prisoners, Jehovah is opening (the eyes of) the blind, Jehovah is raising the bowed down, Jehovah is loving the righteous,
Psalm 146:9	Jehovah is preserving the strangers, The fatherless and widow He causeth to stand, And the way of the wicked He turneth upside down.
Psalm 146:10	Jehovah doth reign to the age, Thy God, O Zion, to generation and generation, Praise ye Jah!
Psalm 147:1	Praise ye Jah! For it is good to praise our God, For pleasant—comely is praise.
Psalm 147:2	Building Jerusalem is Jehovah, The driven away of Israel He gathereth.
Psalm 147:3	Who is giving healing to the broken of heart, And is binding up their griefs.
Psalm 147:4	Appointing the number of the stars, To all them He giveth names.
Psalm 147:5	Great is our Lord, and abundant in power, Of His understanding there is no narration.
Psalm 147:6	Jehovah is causing the meek to stand, Making low the wicked unto the earth.
Psalm 147:7	Answer ye to Jehovah with thanksgiving, Sing ye to our God with a harp.
Psalm 147:8	Who is covering the heavens with clouds, Who is preparing for the earth rain, Who is causing grass to spring up on mountains,
Psalm 147:9	Giving to the beast its food, To the young of the ravens that call.
Psalm 147:10	Not in the might of the horse doth He delight, Not in the legs of a man is He pleased.
Psalm 147:11	Jehovah is pleased with those fearing Him, With those waiting for His kindness.
Psalm 147:12	Glorify, O Jerusalem, Jehovah, Praise thy God, O Zion.
Psalm 147:13	For He did strengthen the bars of thy gates, He hath blessed thy sons in thy midst.
Psalm 147:14	Who is making thy border peace, With the fat of wheat He satisfieth Thee.
Psalm 147:15	Who is sending forth His saying on earth, Very speedily doth His word run.
Psalm 147:16	Who is giving snow like wool, Hoar-frost as ashes He scattereth.
Psalm 147:17	Casting forth His ice like morsels, Before His cold who doth stand?
Psalm 147:18	He sendeth forth His word and melteth them, He causeth His wind to blow—the waters flow.
Psalm 147:19	Declaring His words to Jacob, His statutes and His judgments to Israel.
Psalm 147:20	He hath not done so to any nation, As to judgments, they have not known them. Praise ye Jah!
Psalm 148:1	Praise ye Jah! Praise ye Jehovah from the heavens, Praise ye Him in high places.
Psalm 148:2	Praise ye Him, all His messengers, Praise ye Him, all His hosts.
Psalm 148:3	Praise ye Him, sun and moon, Praise ye Him, all stars of light.
Psalm 148:4	Praise ye Him, heavens of heavens, And ye waters that are above the heavens.
Psalm 148:5	They do praise the name of Jehovah, For He commanded, and they were created.
Psalm 148:6	And He establisheth them for ever to the age, A statute He gave, and they pass not over.
Psalm 148:7	Praise ye Jehovah from the earth, Dragons and all deeps,
Psalm 148:8	Fire and hail, snow and vapour, Whirlwind doing His word;
Psalm 148:9	The mountains and all heights, Fruit tree, and all cedars,
Psalm 148:10	The wild beast, and all cattle, Creeping thing, and winged bird,
